doi,source_pdf,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence
10.1038/s41427-022-00373-9,Controllable_tuning_of_polymetallic_Co-Ni-Ru-S-Se_ultrathin_.pdf,"Replacing precious metals in oxygen evolution reaction (OER) catalysts has broad prospects to achieve a viable water splitting system. Since the electrocatalytic OER is a four-electron transfer reaction with a very sluggish kinetic process, there is great interest in the development of inexpensive, durable, and high-efﬁciency OER catalysts. Herein, trimetallic Co-Ni-Ru sulfoselenide and bimetallic sulfoselenide nanosheets were designed by regulating their composition and morphology for efﬁcient and durable OER electrocatalysis. The sheet structure has a large speciﬁc surface area to promote contact between the catalyst and electrolyte. Compared with bimetallic Co-Ni, Co-Ru, Ni-Ru, Co-Cd, and Co- Au sulfoselenide nanosheets, trimetallic Co-Ni-Ru sulfoselenide nanosheets show superior OER performance. By modulating the composition ratio of metal atoms in the Co-Ni-Ru-S-Se nanosheets (1:1:0.5:1:1), the nanosheets showed a signiﬁcant OER overpotential of η = 261 mV (1.491 V versus RHE) at 10 mA cm−2, a Tafel slope of 52.2 mV dec–1 and outstanding stability after 48 h of continuous testing. For comparison, Co-Ni, Co-Ru, Ni-Ru, Co-Cd, and Co- Au bimetallic sulfoselenide nanosheets (denoted as Co-Ni-S-Se, Co-Ru-S-Se, Ni-Ru-S-Se, Co-Au-S-Se, Co-Cd-S-Se) were also tested. Density functional theory (DFT) calculations showed that appropriately doping Ru and Ni simultaneously (Co-Ni-Ru-S-Se) can increase the density of the states at the Fermi level, resulting in excellent charge density and low intermediate adsorption energy. These ﬁndings present a practical route to design 2D polymetallic nanosheets to optimize catalytic OER performance.",RuO2,,,254.0,10.0,0.7
10.1038/s41467-019-14272-1,Atomically_dispersed_PtN4sites_as_efficient_and_selective_el.pdf,"Chlorine evolution reaction (CER) is a critical anode reaction in chlor-alkali electrolysis. Although precious metal-based mixed metal oxides (MMOs) have been widely used as CER catalysts, they suffer from the concomitant generation of oxygen during the CER. Herein, we demonstrate that atomically dispersed Pt−N4 sites doped on a carbon nanotube (Pt1/CNT) can catalyse the CER with excellent activity and selectivity. The Pt1/CNT catalyst shows superior CER activity to a Pt nanoparticle-based catalyst and a commercial Ru/Ir-based MMO catalyst. Notably, Pt1/CNT exhibits near 100% CER selectivity even in acidic media, with low Cl−concentrations (0.1 M), as well as in neutral media, whereas the MMO catalyst shows substantially lower CER selectivity. In situ electrochemical X-ray absorption spectroscopy reveals the direct adsorption of Cl−on Pt−N4 sites during the CER. Density functional theory calculations suggest the PtN4C12 site as the most plausible active site structure for the CER.",Pt1/CNT,foil,0.1 M HCLO4,105.0,10.0,1.0
10.1038/s41598-018-20974-1,Development_of_Highly_Active_Bifunctional_Electrocatalyst_Us.pdf,"Bifunctional Electrocatalyst Using Co3O4 on Carbon Nanotubes for Oxygen Reduction and Oxygen Evolution Mohammad Shamsuddin Ahmed, Byungchul Choi & Young-Bae Kim Replacement of precious platinum catalyst with efficient and cheap bifunctional alternatives would be significantly beneficial for electrocatalytic oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) and the application of these catalysts in fuel cells is highly crucial. Despite numerous studies on electrocatalysts, the development of bifunctional electrocatalysts with comparatively better activity and low cost remains a big challenge. In this paper, we report a nanomaterial consisting of nanocactus-shaped Co3O4 grown on carbon nanotubes (Co3O4/CNTs) and employed as a bifunctional electrocatalyst for the simultaneous catalysis on ORR, and OER. The Co3O4/CNTs exhibit superior",KOH solution,glassy carbon,0.1 M KOH,270.0,10.0,1.0
10.1038/s41467-023-38213-1,Construction_of_Zn-doped_RuO2nanowires_for_efficient_and_sta.pdf,"Oxygen evolution reaction catalysts capable of working efﬁciently in acidic media are highly demanded for the commercialization of proton exchange membrane water electrolysis. Herein, we report a Zn-doped RuO2 nanowire array electrocatalyst with outstanding catalytic performance for the oxygen",RuO2,foil,0.5 M H2SO4,180.0,10.0,1.0
10.1038/s41598-025-33457-x,Evaluation_of_DyCr_integration_in_MOFrGO_nanocomposite_for_e.pdf,"Mohamed A. Salem5 & Zahid Shafiq1 The development of stable, cost-effective electrocatalysts for water splitting is critical for enhancing hydrogen energy systems, particularly for the hydrogen evolution reaction (HER) and the oxygen evolution reaction (OER). Metal-organic frameworks (MOFs) show great promise due to their tunable structures, high surface areas, and ability to optimize active sites for both HER and OER, improving catalytic efficiency. This study synthesizes a composite material of dysprosium–chromium MOF and reduced graphene oxide (Dy–Cr-MOF/rGO) through a simple hydrothermal method. The Dy–Cr-MOF/rGO composite exhibited exceptional electrocatalytic performance, achieving an OER",Dy-Cr-MOF,foam,0.1 M KOH,164.0,10.0,1.0
10.1038/s41467-026-71943-6,Oxidation-resistant_AgRuIr_alloy_nanocages_for_efficient_and.pdf,"Liu, M. et al. Oxidation-resistant AgRuIr alloy nanocages for efficient and enduring oxygen evolution in proton exchange membrane electrolysis. Nat Commun (2026). https://doi.org/10.1038/",Ag0.19Ru1Ir0.48,glassy carbon,0.1 M HCLO4,233.0,200.0,1.0
10.1038/s41467-023-36317-2,Zhang-Rice_singlets_state_formed_by_two-step_oxidation_for_t.pdf,"The production of ecologically compatible fuels by electrochemical water splitting is highly desirable for modern industry. The Zhang-Rice singlet is well known for the superconductivity of high-temperature superconductors cuprate, but is rarely known for an electrochemical catalyst. Herein, we observe two steps of surface reconstruction from initial catalytic inactive Cu1+ in hydrogen treated Cu2O to Cu2+ state and further to catalytic active Zhang-Rice singlet state during the oxygen evolution reaction for water splitting. The hydrogen treated Cu2O catalyst exhibits a superior catalytic activity and stability for water splitting and is an efﬁcient rival of other 3d-transition-metal catalysts. Multiple operando spectroscopies indicate that Zhang-Rice singlet is real active species, since it appears only under oxygen evolution reaction condition. This work provides an insight in developing an electrochemical catalyst from catalytically inactive materials and improves understanding of the mechanism of a Cu-based catalyst for water oxidation. Understanding how the electrocatalyst/electrolyte interface reforms under operating conditions1–4 can offer mechanistic insight that allows tracking of the catalytically active motif and enlighten a path towards the development of active and stable electrocatalysts. The nature of such nanoscale interfaces is likely heterogeneous and transforms strongly based on electrochemical operation. To date, however, probing such a dynamic process has been challenging because the surface represents only a tiny fraction of a bulk electrocatalyst, and heterogeneous solid/liquid nanojunctions are nontrivial to character-",H-Cu2O,foam,1.0 M KOH,263.0,10.0,1.0
10.1038/s41467-025-60083-y,Orbital-level_band_gap_engineering_of_RuO2for_enhanced_acidi.pdf,"Developing efﬁcient and stable oxygen evolution reaction electrocatalysts under acidic conditions is crucial for advancing proton-exchange membrane water electrolysers commercialization. Here, we develop a representative",Se-RuOx,titanium foil,0.5 M H2SO4,188.0,10.0,1.0
10.1038/s41467-024-52520-1,Cohesive_energy_discrepancy_drives_the_fabrication_of_multim.pdf,"Atomically dispersed single atom (SA) and atomic cluster (AC) metallic materials attract tremendous attentions in various ﬁelds. Expanding monometallic SA and AC to multimetallic SA/AC composites opens vast scientiﬁc and technological potentials yet exponentially increasing the synthesis difﬁculty. Here, we present a general energy-selective-clustering methodology to build the largest reported library of carbon supported bi-/multi-metallic SA/AC materials. The discrepancy in cohesive energy results into selective metal clustering thereby driving the symbiosis of multimetallic SA or/and AC. The library includes 23 bimetallic SA/AC composites, and expanded compositional space of 17 trimetallic, quinary-metallic, septenary-metallic SA/AC composites.",CrSAIrAC@NCB,foil,0.5 M H2SO4,238.0,10.0,1.0
10.1038/s41467-023-42292-5,Bioinspired_trimesic_acid_anchored_electrocatalysts_with_uni.pdf,"Layered double hydroxides are promising candidates for the electrocatalytic oxygen evolution reaction. Unfortunately, their catalytic kinetics and longterm stabilities are far from satisfactory compared to those of rare metals. Here, we investigate the durability of nickel-iron layered double hydroxides and show that ablation of the lamellar structure due to metal dissolution is the cause of the decreased stability. Inspired by the amino acid residues in photosystem II, we report a strategy using trimesic acid anchors to prepare the subsize nickel-iron layered double hydroxides with kinetics, activity and stability superior to those of commercial catalysts. Fundamental investigations through operando spectroscopy and theoretical calculations reveal that the superaerophobic surface facilitates prompt release of the generated O2 bubbles, and protects the structure of the catalyst. Coupling between the metals and coordinated carboxylates via C‒O‒Fe bonding prevents dissolution of the metal species, which stabilizes the electronic structure by static coordination. In addition, the uncoordinated carboxylates formed by dynamic evolution during oxygen evolution reaction serve as proton ferries to accelerate the oxygen evolution reaction kinetics. This work offers a promising way to achieve breakthroughs in oxygen evolution reaction stability and dynamic performance by introducing functional ligands with static and dynamic compatibilities. The oxygen evolution reaction (OER) is a crucial electrochemical process that serves as the foundation for multiple energy storage applications, including rechargeable metal-air batteries, nitrogen",SU-NiFe-LDH,carbon paper,6 M KOH,219.0,10.0,1.0
10.1038/s41467-026-70737-0,Electrified_interfacial_oxygen-down_water_boosts_efficient_a.pdf,"The oxygen evolution reaction proceeds through proton-coupled electron transfers, mastering interfacial proton dynamics is therefore the critical nexus for simultaneously achieving high catalytic activity and long-term stability. Herein, we establish an oxygen-down water adlayer (H2O ↓) that concurrently optimizing initial water deprotonation and subsequent proton transport. We engineer edge dislocations into RuO2 to create stress ﬁelds that exert differential electrostatic forces on water, anchoring oxygen while repelling protons and thereby enforcing the H2O↓orientation, which is directly evidenced by a molecular dipole angle (θw) of ~67°at 1669 cm-1 peak in infrared spectroscopy. In situ spectroscopy and simulations conﬁrm that the H2O↓layer forms a rigid hydrogen-bond network that accelerates Grotthuss-like proton shuttling, preventing corrosive local acid accumulation. The pre-aligned water molecules bypass the stochastic reorientation step, reducing the oxygen formation barrier from 2.02 eV to as low as 0.85 eV. Consequently, our RuO2 catalyst achieves 10 mA cm-2 at 179 mV overpotential with >1,000-hour stability, and enables high current density at 1 A cm-2 for >720 hours at 1.75 V.",ED-RuO2,glassy carbon,0.5 M H2SO4,179.0,10.0,1.0
10.1038/s41467-023-43466-x,Stabilizing_non-iridium_active_sites_by_non-stoichiometric_o.pdf,"Stabilizing active sites of non-iridium-based oxygen evolution reaction (OER) electrocatalysts is crucial, but remains a big challenge for hydrogen production by acidic water splitting. Here, we report that non-stoichiometric Ti oxides (TiOx) can safeguard the Ru sites through structural-conﬁnement and chargeredistribution, thereby extending the catalyst lifetime in acid by 10 orders of magnitude longer compared to that of the stoichiometric one (Ru/TiO2). By exploiting the redox interaction-engaged strategy, the in situ growth of TiOx on Ti foam and the loading of Ru nanoparticles are realized in one step. The assynthesized binder-free Ru/TiOx catalyst exhibits low OER overpotentials of 174 and 265 mV at 10 and 500 mA cm−2, respectively. Experimental characterizations and theoretical calculations conﬁrm that TiOx stabilizes the Ru active center, enabling operation at 10 mA cm−2 for over 37 days. This work opens an avenue of using non-stoichiometric compounds as stable and active materials for energy technologies. Water electrolysis using renewable electricity has been regarded as a promising route to sustainable green hydrogen energy production1–3. Compared with traditional alkaline electrolysis, proton exchange membrane water electrolysis (PEMWE) has the advantages of faster dynamics, operation at higher current densities (maximum 2-3 A cm−2), and high-purity H2 production (>99.9999 vol%)3–5. However, the anodic oxygen evolution reaction (OER) is a four-proton-coupled-electron transfer process, which is the efﬁciency bottleneck of the watersplitting reaction due to a higher reaction energy barrier than the hydrogen evolution reaction (HER). In addition, the harsh acidic and strong oxidative operating conditions impose a huge challenge to the development of high-performance electrocatalysts for the acidic OER",RuO2/TiO2,foam,0.5 M H2SO4,204.0,10.0,1.0
10.1038/s41467-019-13415-8,Overall_electrochemical_splitting_of_water_at_the_heterogene.pdf,"Overall electrochemical splitting of water at the heterogeneous interface of nickel and iron oxide Bryan H.R. Suryanto 1,4, Yun Wang 2,4, Rosalie K. Hocking 3, William Adamson1 & Chuan Zhao1* Efﬁcient generation of hydrogen from water-splitting is an underpinning chemistry to realize the hydrogen economy. Low cost, transition metals such as nickel and iron-based oxides/ hydroxides have been regarded as promising catalysts for the oxygen evolution reaction in alkaline media with overpotentials as low as ~200 mV to achieve 10 mA cm−2, however, they are generally unsuitable for the hydrogen evolution reaction. Herein, we show a Janus nanoparticle catalyst with a nickel–iron oxide interface and multi-site functionality for a highly efﬁcient hydrogen evolution reaction with a comparable performance to the benchmark platinum on carbon catalyst. Density functional theory calculations reveal that the hydrogen evolution reaction catalytic activity of the nanoparticle is induced by the strong electronic coupling effect between the iron oxide and the nickel at the interface. Remarkably, the catalyst also exhibits extraordinary oxygen evolution reaction activity, enabling an active and stable bi-functional catalyst for whole cell water-splitting with, to the best of our knowledge, the highest energy efﬁciency (83.7%) reported to date.",Rosalie K. Hocking,nickel foam,1.0 M KOH,200.0,10.0,1.0
10.1038/s41467-026-68735-3,Machine-learning-guided_tungsten_single_atoms_promote_oxyhyd.pdf,"Lowering the overpotential of oxygen evolution reaction with electrocatalysts is essential for efﬁcient renewable-electricity-driven electrolysis. Active noblemetal catalysts suffer from leaching and scarcity, while non-noble alternatives face limited intrinsic activity. Here we combine computational guidance with experimental validation to identify atomically dispersed tungsten within NiFe oxyhydroxide, namely W1-NiFeOOH, as a promising noble-metal-free oxygen evolution reaction catalyst. An equivariant transformer-based machine-learning interatomic potential accelerates out-of-domain adsorption energy pre-",W1-NiFeOOH,foil,1 M KOH,178.0,10.0,1.0
10.1038/s41467-025-59740-z,The_role_of_carbon_catalyst_coatings_in_the_electrochemical_.pdf,"Designing inexpensive, sustainable, and high-performance oxygen-evolution reaction (OER) electrocatalysts is one of the largest obstacles hindering the development of new electrolyzers. Carbon-coated metal/metal oxide (nano) particles have been used in such applications, but the role played by the carbon coatings is poorly understood. Here, we use a carbon-coated catalyst comprising metal-oxide nanoparticles encapsulated within single-walled carbon nanotubes (SWNTs), to study the effects of carbon coatings on catalytic performance. Electrolyte access to the encapsulated metal oxides is shut off by plugging the SWNT ends with size-matched fullerenes. Our results reveal that the catalytic activity of the composite rivals that of the metal oxide, despite the fact that the metal oxides cannot access the bulk electrolyte. Moreover, the rate-determining step (RDS) of the OER matches that measured at empty SWNTs, indicating that electrocatalysis occurs on the carbon surface. Synergism between the encapsulated metal oxide and carbon coating was explored using electrochemical Raman spectroscopy and computational analysis, revealing that charge transfer from the carbon host to the metal oxide is key to the high electrocatalytic activity of carbon in this system; decreasing electron density on the carbon surface facilitates binding of –OH, accelerating the rate of the OER on the carbon surface. Splitting water electrochemically to produce so-called “green hydrogen” requires identiﬁcation of sustainable, robust electrocatalysts that can replace the unsustainable, expensive noble-metal catalysts used in state-of-the-art devices1. Electrolysis of water in electrolyzers proceeds through the oxygen evolution reaction (OER) at the positive electrode",Co3O4@SWNT,glassy carbon,0.1 M KOH,100.0,10.0,1.0
10.1038/s41467-025-58346-9,Atomic_Ga_triggers_spatiotemporal_coordination_of_oxygen_rad.pdf,"Advancements in proton-exchange membrane water electrolyzer depend on developing oxygen evolution reaction electrocatalysts that synergize high activity with stability. Here, we introduce an approach aimed at elevating oxygen evolution reaction performance by enhancing the spatiotemporal coordination of oxygen radicals to promote efﬁcient O-O coupling. A dense, single-atom conﬁguration of oxygen radical donors within interconnected RuO2 nanocrystal framework is demonstrated. The stable oxygen radicals on gallium sites with adaptable Ga-O bonds are thermodynamically favorable to attract those from Ru sites, addressing dynamic adaptation challenges and boosting O-O coupling efﬁciency. The optimized catalyst achieves a low overpotential of 188 mV at 10 mA cm-2, operates robustly for 800 h at",Ga-O,foil,1 M HCLO4,188.0,10.0,1.0
10.1038/s41467-023-41706-8,Activating_lattice_oxygen_in_high-entropy_LDH_for_robust_and.pdf,"The oxygen evolution reaction is known to be a kinetic bottleneck for water splitting. Triggering the lattice oxygen oxidation mechanism (LOM) can break the theoretical limit of the conventional adsorbate evolution mechanism and enhance the oxygen evolution reaction kinetics, yet the unsatisﬁed stability remains a grand challenge. Here, we report a high-entropy MnFeCoNiCu layered double hydroxide decorated with Au single atoms and O vacancies (AuSA-MnFeCoNiCu LDH), which not only displays a low overpotential of 213 mV at 10 mA cm−2 and high mass activity of 732.925 A g−1 at 250 mV overpotential in 1.0 M KOH, but also delivers good stability with 700 h of continuous operation at ~100 mA cm−2. Combining the advanced spectroscopic techniques and density functional theory calculations, it is demonstrated that the synergistic interaction between the incorporated Au single atoms and O vacancies leads to an upshift in the O 2p band and weakens the metal-O bond, thus triggering the LOM, reducing the energy barrier, and boosting the intrinsic activity. Hydrogen generation through water electrolysis is an ideal way to utilize and store intermittent renewable energy sources, such as solar and wind power, which can effectively tackle the energy crisis and",AuSA-MnFeCoNiCu LDH,foil,1.0 M KOH,213.0,10.0,1.0
10.1038/s41467-024-50605-5,Transfer_learning_guided_discovery_of_efficient_perovskite_o.pdf,"Perovskite oxides show promise for the oxygen evolution reaction. However, numerical chemical compositions remain unexplored due to inefﬁcient trial-and-error methods for material discovery. Here, we develop a transfer learning paradigm incorporating a pre-trained model, ensemble learning, and active learning, enabling the prediction of undiscovered perovskite",Pr0.1Sr0.9Co0.5Fe0.3Mn0.2O3,glassy carbon,1 M KOH,315.0,10.0,1.0
10.1038/s41467-025-64286-1,Temperature-dependent_mechanism_evolution_on_RhRu3Oxfor_acid.pdf,"The oxygen evolution reaction, as the anodic reaction of many electrochemical devices, plays a crucial role in energy conversion. However, the insufﬁcient stability of non-iridium-based materials during the oxygen evolution reaction has severely limited the large-scale application of such devices. Here, using a home-made operando differential electrochemical mass spectrometry system, we show a temperature dependent mechanism evolution effect of RhRu3Ox in the oxygen evolution process, which highlights the role of temperature in triggering mechanism evolution. This effect enriches the strategies for pathway manipulation. Since different kinetic pathways can inﬂuence catalyst stability, this ﬁnding suggests that temperature-dependent pathway regulation may serve as an approach to optimize stability. To evaluate the potential of RhRu3Ox for practical applications, we assemble it into a proton exchange membrane electrolyzer and demonstrate its stability at room temperature for over 1000 hours at a current density of 200 mA cm−2. Density functional theory studies suggest that the existence of a kinetic barrier related to lattice oxygen activation might be the reason for the observed temperature dependent behavior of RhRu3Ox at elevated temperatures. To get rid of the dependence on fossil fuels, the directly use of renewable energy to drive substance conversion and realize an efﬁcient and clean energy utilization system is the ultimate vision to achieve sustainable development1–10. As a clean, recyclable energy, hydrogen (H2) fuels can be generated through water electrolysis with zero-carbon emission. Proton exchange membrane water electrolysis (PEM-WE) is a",RhRu3Ox,carbon paper,0.1 M HCLO4,184.0,10.0,1.0
10.1038/s41467-022-30064-6,Efficient_and_stable_noble-metal-free_catalyst_for_acidic_wa.pdf,"Developing non-noble catalysts with superior activity and durability for oxygen evolution reaction (OER) in acidic media is paramount for hydrogen production from water. Still, challenges remain due to the inadequate activity and stability of the OER catalyst. Here, we report a cost-effective and stable manganese oxybromide (Mn7.5O10Br3) catalyst exhibiting an excellent OER activity in acidic electrolytes, with an overpotential of as low as 295 ± 5 mV at a current density of 10 mA cm−2. Mn7.5O10Br3 maintains good stability under operating conditions for at least 500 h. In situ Raman spectroscopy, X ray absorption near edge spectroscopy, and density functional theory calculations conﬁrm that a self-oxidized surface with enhanced electronic transmission capacity forms on Mn7.5O10Br3 and is responsible for both the high catalytic activity and long-term stability during catalysis. The development of Mn7.5O10Br3 as an OER catalyst provides crucial insights into the design of non-noble metal electrocatalysts for water oxidation.",Mn7.5O10Br3,carbon cloth,0.5 M H2SO4,300.0,10.0,1.0
10.1038/s41467-022-33590-5,Rapid_complete_reconfiguration_induced_actual_active_species.pdf,"Rational regulation of electrochemical reconﬁguration and exploration of activity origin are important foundations for realizing the optimization of electrocatalyst activity, but rather challenging. Herein, we potentially develop",R-CoC2O4,foil,1 M KOH,148.0,10.0,1.0
10.1038/s41467-023-40972-w,Turing_structuring_with_multiple_nanotwins_to_engineer_effic.pdf,"Low-dimensional nanocrystals with controllable defects or strain modiﬁcations are newly emerging active electrocatalysts for hydrogen-energy conversion and utilization; however, a crucial challenge remains in insufﬁcient stability due to spontaneous structural degradation and strain relaxation. Here we report a Turing structuring strategy to activate and stabilize superthin metal nanosheets by incorporating high-density nanotwins. Turing conﬁguration, realized by constrained orientation attachment of nanograins, yields intrinsically stable nanotwin network and straining effects, which synergistically reduce the energy barrier of water dissociation and optimize the hydrogen adsorption free energy for hydrogen evolution reaction. Turing PtNiNb nanocatalyst achieves 23.5 and 3.1 times increase in mass activity and stability index, respectively, compared against commercial 20% Pt/C. The Turing PtNiNb-based anion-exchange-membrane water electrolyser with a low Pt mass loading of 0.05 mg cm−2 demonstrates at least 500 h stability at 1000 mA cm−2, disclosing the stable catalysis. Besides, this new paradigm can be extended to Ir/Pd/Ag-based nanocatalysts, illustrating the universality of Turing-type catalysts. High activity and stability are the two crucial motifs in electrocatalytic discipline1. Effective strategies for synthesizing highly active catalysts are constructing low-dimensional nanomaterials with strain or crystalline defect modulation. Lattice strain can optimize surface electronic structure by changing d-band center and bandwidth to tune adsorption energy of reaction intermediate on catalyst surface, and further improving catalytic activity2–4. Atom conﬁguration of metallic catalyst surface is another pivotal factor to determine catalyst performance, especially surface terminations of crystalline defects, such as twins and stacking faults, which are usually active sites due to spe-",PtNiNb,foil,0.5 M H2SO4,128.0,10.0,1.0
10.1038/s41467-024-55747-0,Boosting_the_durability_of_RuO2via_confinement_effect_for_pr.pdf,"Proton exchange membrane water electrolysis (PEMWE) has been commercialized as an important technology for producing green hydrogen via electrocatalytic water splitting, as it could offer many prominent advantages, such as high current density, compact device design, high H2 purity, and fast current response1–4. In PEMWE, the anodic oxygen evolution reaction (OER) as the bottleneck reaction suffers from a sluggish four-electron transfer process. The strongly acidic and highly oxidative environment at the anode further puts stringent requirements on the design of",ATO/RuO2,glassy carbon,0.5 M H2SO4,100.0,10.0,1.0
10.1038/s41467-017-02429-9,Dendritic_core-shell_nickel-iron-copper_metalmetal_oxide_ele.pdf,"Electrochemical water splitting requires efﬁcient water oxidation catalysts to accelerate the sluggish kinetics of water oxidation reaction. Here, we report a promisingly dendritic coreshell nickel-iron-copper metal/metal oxide electrode, prepared via dealloying with an electrodeposited nickel-iron-copper alloy as a precursor, as the catalyst for water oxidation. The as-prepared core-shell nickel-iron-copper electrode is characterized with porous oxide shells and metallic cores. This tri-metal-based core-shell nickel-iron-copper electrode exhibits a remarkable activity toward water oxidation in alkaline medium with an overpotential of only 180 mV at a current density of 10 mA cm−2. The core-shell NiFeCu electrode exhibits pH-dependent oxygen evolution reaction activity on the reversible hydrogen electrode scale, suggesting that non-concerted proton-electron transfers participate in catalyzing the oxygen evolution reaction. To the best of our knowledge, the as-fabricated core-shell nickel-ironcopper is one of the most promising oxygen evolution catalysts.",NiFeCu,nickel foam,1 M KOH,224.0,10.0,1.0
10.1038/s41929-022-00783-6,Intramolecular_hydroxyl_nucleophilic_attack_pathway_by_a_pol.pdf,"The development of various support materials that can anchor isolated single-metal sites has progressed tremendously. However, most support materials used to immobilize single-metal sites are non-uniform (in size, edges and so on), which results in metal atoms being surrounded by different chemical environments. The overall heterogeneity of these catalytic sites has restricted their application in catalytic mechanism investigations12. Therefore, a catalytic system that can provide definite coordination environments to form structurally defined transition-metal active sites is crucial for reliable mechanistic studies of heterogeneous OER. Among known materials, covalent organic frameworks (COFs) provide abundant, uniform coordination sites through facile synthetic procedures13. Aza-CMP (Fig. 1 and Supplementary Fig. 1), which is synthesized by the polycondensation of",Aza-CMP-Co/CP,foil,1.0 M NAOH,446.0,10.0,1.0
10.1038/s41467-020-17657-9,Tuning_proton-coupled_electron_transfer_by_crystal_orientati.pdf,"Developing highly efﬁcient and cost-effective oxygen evolution reaction (OER) electrocatalysts is critical for many energy devices. While regulating the proton-coupled electron transfer (PCET) process via introducing additive into the system has been reported effective in promoting OER activity, controlling the PCET process by tuning the intrinsic material properties remains a challenging task. In this work, we take double perovskite oxide PrBa0.5Sr0.5Co1.5Fe0.5O5+δ (PBSCF) as a model system to demonstrate enhancing OER activity through the promotion of PCET by tuning the crystal orientation and correlated proton diffusion. OER kinetics on PBSCF thin ﬁlms with (100), (110), and (111) orientation, deposited on single crystal LaAlO3 substrates, were investigated using electrochemical measurements, density functional theory (DFT) calculations, and synchrotron-based near ambient X-ray photoelectron spectroscopy. The results clearly show that the OER activity and the ease of deprotonation depend on orientation and follow the order of (100) > (110) > (111). Correlated with OER activity, proton diffusion is found to be the fastest in the (100) ﬁlm, followed by (110) and (111) ﬁlms. Our results point out a way of boosting PCET and OER activity, which can also be successfully applied to a wide range of crucial applications in green energy and environment.",PrBa0.5Sr0.5Co1.5Fe0.5O5+δ,,1 M KOH,504.0,4.3,0.8
10.1038/s41467-025-66475-4,Durable_acidic_water_oxidation_ruthenium_based_electrocataly.pdf,"Ru–based materials exhibit high electrocatalytic activity for the acidic oxygen evolution reaction, but they are prone to transform into soluble RuO4 species via traditional lattice oxygen mechanism at high oxidation potentials, resulting in rapid inactivation. Herein, density functional theory calculations predict that the F induced symmetry–breaking can alter the oxygen evolution reaction route of RuO2 from the lattice oxygen mechanism route to the stable adsorption evolution mechanism pathway. Consequently, we fabricate an efﬁcient F–RuO2/FC electrocatalyst by substituting a portion of O in RuO2 with",F-RuO2/FC,foil,0.5 M H2SO4,296.0,100.0,1.0
10.1038/s41598-023-46292-9,Nanoengineered_Pd-doped_CoC_nanoparticles_as_an_effective_el.pdf,"Water electrolysis is considered one of the major sources of green hydrogen as the fuel of the future. However, due to limited freshwater resources, more interest has been geared toward seawater electrolysis for hydrogen production. The development of effective and selective electrocatalysts from earth-abundant elements for oxygen evolution reaction (OER) as the bottleneck for seawater electrolysis is highly desirable. This work introduces novel Pd-doped Co nanoparticles encapsulated in graphite carbon shell electrode (Pd-doped CoNPs@C shell) as a highly active OER electrocatalyst towards alkaline seawater oxidation, which outperforms the state-of-the-art catalyst, ­RuO2.",Co@C,glassy carbon,1.0 M KOH,348.0,10.0,1.0
10.1038/s41467-019-12994-w,Universal_scaling_relations_for_the_rational_design_of_molec.pdf,"Wolfgang Schmitt1 & Max García-Melchor 1* A major roadblock in realizing large-scale production of hydrogen via electrochemical water splitting is the cost and inefﬁciency of current catalysts for the oxygen evolution reaction (OER). Computational research has driven important developments in understanding and designing heterogeneous OER catalysts using linear scaling relationships derived from computed binding energies. Herein, we interrogate 17 of the most active molecular OER",Schmitt1,indium tin oxide,,400.0,10.0,0.9
10.1038/s41467-026-70731-6,Built-in_electric_field_engineering_in_Co2N067CoP_heterostru.pdf,Built-in electric ﬁeld engineering in Co2N0.67/ CoP heterostructures for glycerol electrooxidation-assisted hydrogen production,Co2N0.67/CoP,foam,1 M KOH,250.0,10.0,1.0
10.1038/s41467-019-09845-z,Single_atom_tungsten_doped_ultrathin_α-NiOH2for_enhanced_ele.pdf,"Electrocatalytic water oxidation is a rate-determining step in the water splitting reaction. Here, we report one single atom W6+ doped Ni(OH)2 nanosheet sample (w-Ni(OH)2) with an outstanding oxygen evolution reaction (OER) performance that is, in a 1 M KOH medium, an overpotential of 237 mV is obtained reaching a current density of 10 mA/cm2. Moreover,",W6+,glassy carbon,1 M KOH,351.0,10.0,1.0
10.1038/s41598-025-11358-3,Exploring_the_electrocatalytic_potential_of_CdTiO3for_sustai.pdf,"The development of efficient, cost–effective, and stable bifunctional electrocatalysts for overall water splitting is of paramount importance in alkaline mediums. In this study, we report the synthesis of the CdTiO3 nanoparticles using the simple low–temperature sol–gel approach. CdTiO3 as an electrodic material exhibits enhanced catalytic performance, advantageous reaction kinetics, and remarkable longevity for both the oxygen evolution reaction (OER) and hydrogen evolution reaction (HER). The nanostructured CdTiO3 demonstrates the overpotentials of 270 and 320 mV to attain a current density of 10 mA cm−2 for OER and HER in 1.0 M KOH electrolyte, respectively. It reveals the low Tafel slope values of 63 and 79 mV dec−1 for OER and HER, respectively. This work proposes a sustainable strategy for developing enhanced bifunctional electrocatalysts for hydrogen fuel production via overall water splitting, which has the potential to replace noble metals in a wide range of renewable energy systems. Keywords Metal oxides, Electrocatalysts, Water splitting, Hydrogen evolution reaction, Oxygen evolution reaction The growing energy demands of modern society and the pressing need to reduce greenhouse gas emissions have driven global research efforts toward clean and renewable energy technologies1. Among various clean energy carriers, hydrogen stands out due to its high energy density and zero–emission potential when used in fuel",IrO2,mesh,1.0 M KOH,360.0,10.0,1.0
