doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,extraction_note,anchor_found,anchor_sentence
10.1038/s41467-020-15498-0,Approaching_the_activity_limit_of_CoSe2for_oxygen_evolution_.pdf,OPEN,"Electronic structure engineering lies at the heart of efﬁcient catalyst design. Most previous studies, however, utilize only one technique to modulate the electronic structure, and therefore optimal electronic states are hard to be achieved. In this work, we incorporate both Fe dopants and Co vacancies into atomically thin CoSe2 nanobelts for /coxygen evolution catalysis, and the resulted CoSe2-DFe–VCo exhibits much higher catalytic activity than other defect-activated CoSe2 and previously reported FeCo compounds. Deep characterizations and theoretical calculations identify the most active center of Co2 site that is adjacent to the VCo-nearest surface Fe site. Fe doping and Co vacancy synergistically tune the electronic states of Co2 to a near-optimal value, resulting in greatly decreased binding energy of OH* (ΔEOH) without changing ΔEO, and consequently lowering the catalytic overpotential. The proper combination of multiple defect structures is promising to unlock the catalytic power of different catalysts for various electrochemical reactions.",Ref.27,graphite rod,1 M NAOH,520,10,1.0,complete,True,"oSe2-DFe CoSe2-DFe-VSe CoSe2-DFe-VCo CoSe2 CoSe2-DFe CoSe2-DFe-VSe CoSe2-DFe-VCo CoSe2 CoSe2-DFe CoSe2-DFe-VSe CoSe2-DFe-VCo CoSe2 CoSe2-DFe CoSe2-DFe-VSe CoSe2-DFe-VCo Rs Rct Cd Ref.17 Ref.18 Ref.19 Ref.20 Ref.21 Ref.22 Ref.23 Ref.24 Ref.25 Ref.26 Ref.28 Ref.27 370 mV 420 mV 470 mV 520 mV CP CP CP j = 10 mA cm–2 Overpotential (mV) Current density (A F–1) Log (Current density, mA cm–2) Current density (mA cm–2) Overpotential (mV) Zre (Ohm) –ZIm (Ohm) Overpotential (mV) Current density (A F–1) Turnover frequency (s–1) Overpotential (mV) Current density (mA cm–2) Time (h) Overpotential (mV) a b c d e f g h Ob"
10.1038/s41467-022-33000-w,Enhanced_oxygen_evolution_over_dual_corner-shared_cobalt_tet.pdf,Enhanced oxygen evolution over dual corner-shared cobalt tetrahedra,"Developing efﬁcient catalysts is of paramount importance to oxygen evolution, a sluggish anodic reaction that provides essential electrons and protons for various electrochemical processes, such as hydrogen generation. Here, we report that the oxygen evolution reaction (OER) can be efﬁciently catalyzed by cobalt tetrahedra, which are stabilized over the surface of a Swedenborgitetype YBCo4O7 material. We reveal that the surface of YBaCo4O7 possesses strong resilience towards structural amorphization during OER, which originates from its distinctive structural evolution toward electrochemical oxidation. The bulk of YBaCo4O7 composes of corner-sharing only CoO4 tetrahedra, which can ﬂexibly alter their positions to accommodate the insertion of interstitial oxygen ions and mediate the stress during the electrochemical oxidation. The density functional theory calculations demonstrate that the OER is efﬁciently catalyzed by a binuclear active site of dual corner-shared cobalt tetrahedra, which have a coordination number switching between 3 and 4 during the reaction. We expect that the reported active structural motif of dual corner-shared cobalt tetrahedra in this study could enable further development of compounds for catalyzing the OER. A sustainable society relies upon renewable energy resources instead of fossil fuel combustion to generate electricity, reducing emissions of pollutants. Meanwhile, several eco-friendly energy conversion systems, such as water electrolyzers and metal-air batteries, have been explored to store energy from renewable resources. In these systems, the oxygen evolution reaction (OER) is an essential step. The complex four-electron transfer process makes OER occurs at a large overpotential and thus generally consumes considerable energy. In the last years, various transition-metal-based complex compounds have been intensively explored for catalyzing the OER efﬁciently1–10. However, the design of advanced catalysts with high activity and sustainability is still",YBCo4O7,glassy carbon,0.1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-023-35913-6,Dynamic_rhenium_dopant_boosts_ruthenium_oxide_for_durable_ox.pdf,Dynamic rhenium dopant boosts ruthenium oxide for durable oxygen evolution,"Heteroatom-doping is a practical means to boost RuO2 for acidic oxygen evolution reaction (OER). However, a major drawback is conventional dopants have static electron redistribution. Here, we report that Re dopants in Re0.06Ru0.94O2 undergo a dynamic electron accepting-donating that adaptively boosts activity and stability, which is different from conventional dopants with static dopant electron redistribution. We show Re dopants during OER, (1) accept electrons at the on-site potential to activate Ru site, and (2) donate electrons back at large overpotential and prevent Ru dissolution. We conﬁrm via in situ characterizations and ﬁrst-principle computation that the dynamic electron-interaction between Re and Ru facilitates the adsorbate evolution mechanism and lowers adsorption energies for oxygen intermediates to boost activity and stability of Re0.06Ru0.94O2. We demonstrate a high mass activity of 500 A gcata. −1 (7811 A gRe-Ru −1) and a high stability number of S-number = 4.0 × 106 noxygen nRu −1 to outperform most electrocatalysts. We conclude that dynamic dopants can be used to boost activity and stability of active sites and therefore guide the design of adaptive electrocatalysts for clean energy conversions. Proton exchange membrane (PEM) water electrolyzers are practically promising for green hydrogen production because of the high current density, energy efﬁciency, and safety1–4. However, sustainable application is hindered by high price and low reserve of iridium (Ir), the anode material for oxygen evolution reaction (OER)4–6. For example, the demand for Ir is nine times greater than current global production for all planned PEM electrolyzers for 2030 in the Net Zero Emissions Scenario1. Therefore, efﬁcient and Ir-free OER electrocatalysts are important for continuing competitiveness of PEM water electrolyzers7. In 1987 researchers reported that rutile-phase ruthenium oxide (RuO2) has signiﬁcant practical potential to replace IrO2 for acidic OER because of excellent activity8. However, achieving high activity and stability with this catalyst is practically difﬁcult because of the",Re0.06Ru0.94O2,carbon paper,0.1 M HCLO4,190,10,1.0,complete,True,"Figure 1a, b presents the linear sweep voltammetry (LSV) curves and corresponding Tafel slopes for Re0.06Ru0.94O2, RuO2, and commercial RuO2 (denoted C-RuO2). Re0.06Ru0.94O2 exhibited an overpotential of 190 mV at current density 10 mA cm−2 (η10) with a Tafel slope 45.5 mV dec−1, outperforming RuO2 with 258 mV and 50.3 mV dec−1 and, C-RuO2, 388 mV and 76.4 mV dec−1, respectively38."
10.1038/s41467-024-53763-8,Local_compressive_strain-induced_anti-corrosion_over_isolate.pdf,Local compressive strain-induced anti-,"Enhancing corrosion resistance is essential for developing efﬁcient electrocatalysts for acidic oxygen evolution reaction (OER). Herein, we report the strategic manipulation of the local compressive strain to reinforce the anticorrosion properties of the non-precious Co3O4 support. The incorporation of Ru single atoms, larger in atomic size than Co, into the Co3O4 lattice (RuCo3O4), triggers localized strain compression and lattice distortion on the CoO lattice. A comprehensive exploration of the correlation between this speciﬁc local compressive strain and electrocatalytic performance is conducted through experimental and theoretical analyses. The presence of the localized strain in Ru-Co3O4 is conﬁrmed by operando X-ray absorption studies and supported by quantum calculations. This local strain, presented in a shortened Co-O bond length, enhances the anti-corrosion properties of Co3O4 by suppressing metal dissolutions. Consequently, Ru-Co3O4 shows satisfactory stability, maintaining OER for over 400 hours at 30 mA cm−2 with minimal decay. This study demonstrates the potential of the local strain effect in fortifying catalyst stability for acidic OER and beyond. The oxygen evolution reaction (OER), which involves a four-electron transfer process to supply protons needed for fuel production at the cathode, holds paramount importance as the critical step in several electrochemical energy conversion and storage devices involving electrochemical water splitting1–4. While both acidic and alkaline electrolytes serve in water splitting, the acidic OER offers distinct advantages including heightened gas purity, superior voltage efﬁciency, compact cell design, and compatibility with proton exchange",Ru-Co3O4,foil,0.1 M HCLO4,252,10,1.0,complete,True,"Electrocatalytic performance The electrochemical evaluation employed a three-electrode setup in a 0.1 M HClO4 solution. Linear sweep voltammetry (LSV) curves illustrate that Ru-Co3O4 (4.49 wt%) exhibits the lowest overpotential value of 252 mV to achieve a current density of 10 mA cm−2, surpassing Ru- Co3O4 (1.33 wt%; 299 mV) and Ru-Co3O4 (3.21 wt%; 266 mV) with lower Ru loadings, Ru-Co3O4 (7.06 wt%; 260 mV) and Ru-Co3O4 (8.67 wt%; 264 mV) with higher Ru loadings, benchmark RuO2 (312 mV), and Co3O4 (535 mV) catalysts (Fig."
10.1038/ncomms9625,Reversible_amorphization_and_the_catalytically_active_state_.pdf,OPEN,"Co3O4 is transformed into an X-ray amorphous CoOx(OH)y which comprises di-m-oxobridged Co3 þ/4 þ ions. Unlike irreversible amorphizations, here, the formation of the catalytically-active layer is reversed by re-crystallization upon return to non-catalytic electrode conditions. The Co3O4 material thus combines the stability advantages of a controlled, stable crystalline material with high catalytic activity, thanks to the structural ﬂexibility of its active amorphous oxides. We propose that crystalline oxides may be tailored for generating reactive amorphous surface layers at catalytic potentials, just to return to their stable crystalline state under rest conditions.",Co3O4,carbon felt,0.1 M KPI,,,0.55,material_without_anchor,False,
10.1038/s41467-017-01734-7,Balancing_activity_stability_and_conductivity_of_nanoporous_.pdf,OPEN,"The selection of oxide materials for catalyzing the oxygen evolution reaction in acid-based electrolyzers must be guided by the proper balance between activity, stability and conductivity—a challenging mission of great importance for delivering affordable and environmentally friendly hydrogen. Here we report that the highly conductive nanoporous architecture of an iridium oxide shell on a metallic iridium core, formed through the fast dealloying of osmium from an Ir25Os75 alloy, exhibits an exceptional balance between oxygen evolution activity and stability as quantiﬁed by the activity-stability factor. On the basis of this metric, the nanoporous Ir/IrO2 morphology of dealloyed Ir25Os75 shows a factor of ~30 improvement",Ir/IrO2,,0.1 M HCLO4,,,0.35,material_without_anchor,False,
10.1038/s41467-025-56070-y,Time-resolved_spectroscopy_uncovers_deprotonation-induced_re.pdf,Time-resolved spectroscopy uncovers deprotonation-induced reconstruction in oxygen-evolution NiFe-based (oxy) hydroxides,"Transition-metal layered double hydroxides are widely utilized as electrocatalysts for the oxygen evolution reaction (OER), undergoing dynamic transformation into active oxyhydroxides during electrochemical operation. Nonetheless, our understanding of the non-equilibrium structural changes that occur during this process remains limited. In this study, utilizing in situ energy-dispersive X-ray absorption spectroscopy and machine learning analysis, we reveal the occurrence of deprotonation and elucidate the role of incorporated iron in facilitating the transition from nickel-iron layered double hydroxide (NiFe LDH) into its active oxyhydroxide. Our ﬁndings demonstrate that iron substitution promotes deprotonation process within NiFe LDH, resulting in the preferential removal of protons from the speciﬁc bridged hydroxyl group (Ni2+-OH-Fe3+) linked to edge-sharing [NiO6] and [FeO6] octahedron. This deprotonation behavior drives the formation of high-valence Ni3+δ species (0 <δ < 1), which subsequently serve as the active sites, thereby ensuring efﬁcient oxygen evolution activity. This approach offers highresolution insights of dynamic structural evolution, overcoming the limitations of extended acquisition times and advancing our understanding of OER mechanisms. Drawing a comprehensive picture towards the evolution of active sites during oxygen evolution reaction (OER) is essential for elucidating origins of catalytic activity and advancing the development of efﬁcient catalysts1–3. Layered double hydroxides (LDHs) composed of ﬁrst-row transition metals have emerged as prominent OER catalysts due to their favorable performance, tunable chemical compositions, and abundance of active sites4–6. Particularly, NiFe LDHs, which consist of [NiO6] and substituted [FeO6] octahedrons, exhibit superior OER activity, garnering intense attention in recent years7–11. Remarkably, the geometric and electronic structures of NiFe LDHs have been observed to undergo selfreconstruction under applied potentials, resulting in improved OER",Ni0.83Fe0.17 LDH,glassy carbon,1 M KOH,235,10,1.0,complete,True,"1). Subsequently, linear sweep voltammetry (LSV) measurements reveal that the Ni0.83Fe0.17 LDH, doped with 17 wt% Fe, exhibits notable OER activity, achieving an overpotential of 235 mV at a current density of 10 mA cm−2 (Fig."
10.1038/s41467-021-24182-w,Tuning_of_lattice_oxygen_reactivity_and_scaling_relation_to_.pdf,OPEN,"Developing efﬁcient and low-cost electrocatalysts for oxygen evolution reaction is crucial in realizing practical energy systems for sustainable fuel production and energy storage from renewable energy sources. However, the inherent linear scaling relation for most catalytic materials imposes a theoretical overpotential ceiling, limiting the development of efﬁcient electrocatalysts. Herein, using modeled NaxMn3O7 materials, we report an effective strategy to construct better oxygen evolution electrocatalyst through tuning both lattice oxygen reactivity and scaling relation via alkali metal ion mediation. Speciﬁcally, the number of Na+ is linked with lattice oxygen reactivity, which is determined by the number of oxygen hole in oxygen lone-pair states formed by native Mn vacancies, governing the barrier symmetry between O–H bond cleavage and O–O bond formation. On the other hand, the presence of Na + could have speciﬁc noncovalent interaction with pendant oxygen in *OOH to overcome the limitation from linear scaling relation, reducing the overpotential ceiling. Combining in situ spectroscopy-based characterization with ﬁrst-principles calculations, we demonstrate that an intermediate level of Na+ mediation (NaMn3O7) exhibits the optimum oxygen evolution activity. This work provides a new rational recipe to develop highly efﬁcient catalyst towards water oxidation or other oxidative reactions through tuning lattice oxygen reactivity and scaling relation. https://doi.org/10.1038/s41467-021-24182-w OPEN",NaMn3O7,foil,1 M KOH,320,1.08,1.0,nonstandard_current_density,True,"Figure 4b further compares the speciﬁc current densities at a constant overpotential of 320 mV. As expected, NaMn3O7 gives the highest speciﬁc current density of 1.08 mA cm−2ox, which is 36.0, 2.16, and 12.0 times higher than Na2Mn3O7 (0.03 mA cm−2ox), Na1.5Mn3O7 (0.45 mA cm−2ox) and Na0.7Mn3O7 (0.09 mA cm−2ox), respectively."
10.1038/s41467-024-55290-y,Effect_of_ionic-bondingd0cations_on_structural_durability_in.pdf,Effect of ionic-bonding d0 cations on structural durability in barium iridates for oxygen evolution electrocatalysis,"Iridium has the exclusive chemistry guaranteeing both high catalytic activity and sufﬁcient corrosion resistance in a strong acidic environment under anodic potential. Complex iridates thus attract considerable attention as highactivity electrocatalysts with less iridium utilization for the oxygen evolution reaction (OER) in water electrolyzers using a proton-exchange membrane. Here we demonstrate the effect of chemical doping on the durability of hexagonal-perovskite Bax(M,Ir)yOz-type iridates in strong acid (pH ~ 0). Some aliovalent cations are directly visualized to periodically locate at the octahedral sites bridging the two face-sharing [Ir2O9] dimer or [Ir3O12] trimers in",Ir2O9,carbon paper,1 M HCLO4,,,0.55,material_without_anchor,False,
10.1038/s41467-024-46176-0,Distance_effect_of_single_atoms_on_stability_of_cobalt_oxide.pdf,Distance effect of single atoms on stability of cobalt oxide catalysts for acidic oxygen evolution,"Developing efﬁcient and economical electrocatalysts for acidic oxygen evolution reaction (OER) is essential for proton exchange membrane water electrolyzers (PEMWE). Cobalt oxides are considered promising non-precious OER catalysts due to their high activities. However, the severe dissolution of Co atoms in acid media leads to the collapse of crystal structure, which impedes their application in PEMWE. Here, we report that introducing acid-resistant Ir single atoms into the lattice of spinel cobalt oxides can signiﬁcantly suppress the Co dissolution and keep them highly stable during the acidic OER process. Combining theoretical and experimental studies, we reveal that the stabilizing effect induced by Ir heteroatoms exhibits a strong dependence on the distance of adjacent Ir single atoms, where the OER stability of cobalt oxides continuously improves with decreasing the distance. When the distance reduces to about 0.6 nm, the spinel cobalt oxides present no obvious degradation over a 60-h stability test for acidic OER, suggesting potential for practical applications. Proton exchange membrane water electrolysis (PEMWE) driven by renewable electricity is the most promising route to the production of",Ir1/Cu0.3Co2.7O4,foil,0.1 M HCLO4,290,10,1.0,complete,True,"Moreover, the current density of Ir1/Cu0.3Co2.7O4 increased with decreasing the distance of adjacent Ir single atoms. Speciﬁcally, Ir1/Cu0.3Co2.7O4 with d = 0.6 nm only required an over- potential of 290 mV to deliver a current density of 10 mA cm−2, which was 120, 70, and 30 mV lower than those of Cu0.3Co2.7O4, Ir1/ Cu0.3Co2.7O4 with d = 1.1 and 0.8 nm, respectively (Supplementary Fig."
10.1038/s41598-024-59595-2,Green_synthesis_and_characterization_of_binary_ternary_and_q.pdf,"RuO2-based materials have recently received attention due to their high conductivity, excellent thermal sta-","A. B. Abdel‑Aziz 1, F. El‑Taib Heakal 2*, R. M. El Nashar 2 & I. M. Ghayad 3* Dimensionally stable anodes of titanium (Ti) metal coated with mixed metal oxides (MMO) are widely used in several electrochemical applications, especially chloro-alkali electrolysis. Herein, we deposited MMO coatings on Ti substrates in different compositions, namely, (60%RuO2-40%TiO2), (60%RuO230%TiO2-10%IrO2), and (60%RuO2-20%TiO2-15%IrO2-5%Ta2O5), where ­RuO2 has the same percentage ratio in all coatings. The aim was to use these electrodes for chlorine evolution reaction (CER) and oxygen evolution reaction (OER) applications. Electrochemical characterization of the coated samples was performed to identify the best Ti/MMO electrodes with the highest efficiencies among the various prepared combinations. The role of ­IrO2 and ­Ta2O5 in enhancing corrosion resistance and electrochemical efficacy was up for debate. Scanning electron microscope (SEM), energy dispersive spectroscopy (EDS), X-ray diffraction (XRD), and X-ray photoelectron spectroscopy (XPS) analyses were exploited to determine the surface morphology, chemical composition, crystallinity, surface composition, and chemical states of the acquired coatings. The differential scanning calorimetry (DSC) method was used to evaluate the apparent activation energy ( Ea ) of the deposited MMO. Additionally, the electrochemical performance of our designed coatings was scrutinized by cyclic voltammetry (CV), electrochemical impedance spectroscopy (EIS), a current on–off test, a CV stability test (ST), and an accelerated stability test (AST). Furthermore, linear sweep voltammetry (LSV) was incorporated to assess the catalytic efficacy of the prepared anodes toward the CER in a brine solution of pH 2 and the OER in 1 M ­H2SO4. It became clear that the CER and OER incurred almost the same potential value (1.1 V) on both Ti/RuO2-TiO2 and Ti/RuO2-TiO2-IrO2 electrodes. However, on the Ti/RuO2-TiO2-IrO2Ta2O5 anode, there was a 0.2 V potential difference between the CER occurring at 1.1 V and the OER happening at 1.3 V.",Ti/RuO2-TiO2-IrO2Ta2O5,,,,,0.25,material_without_anchor,False,
10.1038/s41467-023-36833-1,Iridium_oxide_nanoribbons_with_metastable_monoclinic_phase_f.pdf,Iridium oxide nanoribbons with metastable monoclinic phase for highly efﬁcient electrocatalytic oxygen evolution,"Metastable metal oxides with ribbon morphologies have promising applications for energy conversion catalysis, however they are largely restricted by their limited synthesis methods. In this study, a monoclinic phase iridium oxide nanoribbon with a space group of C2/m is successfully obtained, which is distinct from rutile iridium oxide with a stable tetragonal phase (P42/mnm). A molten-alkali mechanochemical method provides a unique strategy for achieving this layered nanoribbon structure via a conversion from a mono-",C-IrO2,foil,0.5 M H2SO4,235,10,1.0,complete,True,"d 117 mV lower than those of C-IrO2 and C-Ir/C, respectively. K0.25IrO2 is a poor OER catalyst with an overpotential of 344 mV at 10 mA cm–2 (Supplemen- tary Fig."
10.1038/s41467-021-24052-5,Orbital_coupling_of_hetero-diatomic_nickel-iron_site_for_bif.pdf,OPEN,"While inheriting the exceptional merits of single atom catalysts, diatomic site catalysts (DASCs) utilize two adjacent atomic metal species for their complementary functionalities and synergistic actions. Herein, a DASC consisting of nickel-iron hetero-diatomic pairs anchored on nitrogen-doped graphene is synthesized. It exhibits extraordinary electrocatalytic activities and stability for both CO2 reduction reaction (CO2RR) and oxygen evolution reaction (OER). Furthermore, the rechargeable Zn-CO2 battery equipped with such bifunctional catalyst shows high Faradaic efﬁciency and outstanding rechargeability. The indepth experimental and theoretical analyses reveal the orbital coupling between the catalytic iron center and the adjacent nickel atom, which leads to alteration in orbital energy level, unique electronic states, higher oxidation state of iron, and weakened binding strength to the reaction intermediates, thus boosted CO2RR and OER performance. This work provides critical insights to rational design, working mechanism, and application of hetero-DASCs.",CO2RR,foil,1.0 M KOH,690,10,1.0,complete,True,"p of the plot, indicating its outstanding OER performance. In summary, we have demonstrated a diatomic NiFe catalyst supported by nitrogen-doped graphene with extraordinary and stable electrocatalytic performance towards CO2RR (94.5% FE of CO and 50.4 mA cm-2 at an overpotential of 690 mV) and OER (10 mA cm-2 at an overpotential of 310 mV)."
10.1038/s44160-024-00694-3,Ultrathin_transition_metal_oxychalcogenide_catalysts_for_oxy.pdf,Ultrathin transition metal oxychalcogenide catalysts for oxygen evolution in acidic media,"Two-dimensional transition metal dichalcogenides (TMDs) exfoliated from bulk layered materials possess interesting properties. Most transition metal oxides are not layered and therefore cannot be exfoliated. Here we report the synthesis of a family of ultrathin materials—transition m­et­al o­xy­ch­al­co­ge­ nides (TMOCs)—and demonstrate their unique properties. Two-dimensional TMOCs (MXxOy, M = group IV or V transition metal, X = chalcogen, O = oxygen; x, y = 0–2) from bulk transition metal dichalcogenides (MX2) have been fabricated using t­e­t­ra­b­u­ty­l­a­mmonium intercalation. The stoichiometry of TMOCs can be adjusted, which enables control o­f t­h­e­ir o­pt­ic­al bandgaps and tunability of electrical conductivity by more than eight orders of magnitude. By tuning the chalcogen-to-oxygen ratio along with local atomic structure in TMOCs, it is possible to impart unexpected properties. For example, in contrast to conventional TMDs, the hybrid structure of TMOCs renders them surprisingly stable and electrochemically active in strong acids, allowing them to be used as proof-of-concept catalysts for the oxygen evolution reaction at pH ≈ 0. The HfS0.52O1.09 catalyst shows high mass activity",HfS0.52O1.09,glassy carbon,0.5 M H2SO4,,,0.55,material_without_anchor,False,
10.1038/srep45384,Decorating_unoxidized-carbon_nanotubes_with_homogeneous_Ni-C.pdf,OPEN 2,"We present a new concept for homogeneous spinel nanocrystal-coating on high crystalline pristinecarbon nanotubes (CNTs) for efficient and durable oxygen evolution reaction (OER) and oxygen reduction reaction (ORR). Oxidized CNTs have widely been used to functionalize with metal or metal oxides since the defect sites act as anchoring for metal oxide binding. However, such defects on the tubes cause the decrease in electrical conductivity and stability, leading to lower catalyst performance. In the present study, at first, pristine multi-walled carbon nanotubes (MWNTs) were wrapped by pyridine-based polybenzimidazole (PyPBI) to which uniform NixCo3−xO4 nanocrystals were homogeneously deposited by the solvothermal method without damaging the MWNTs, in which PyPBI acted as efficient anchoring sites for the deposition of spinel oxide nanocrystals with ~5 nm size. The obtained catalyst (MWNT-PyPBI-NixCo3−xO4) outperformed most state-of-the-art non-precious metalbased bifunctional catalysts; namely, for OER, the potential at 10 mA cm−2 and Tafel slope in 1 M KOH solution were 1.54 V vs. RHE and 42 mV dec−1, respectively. For ORR, the onset and half-wave potentials are 0.918 V and 0.811 V vs. RHE, respectively. Moreover, the MWNT-PyPBI-NixCo3−xO4 demonstrates an excellent durability for both ORR and OER. The explosively increasing demands for portable electronic devices, electric vehicles, and efficient utilization of excess electricity and renewable energies have significantly stimulated the development of electrochemical energy storage systems, such as fuel cells, redox fuels, supercapacitors, rechargeable batteries, etc ref. 1. One of the key challenges in many energy conversion systems is to develop an efficient air electrode, in which the oxygen",MWNT-PyPBI-NixCo3,glassy carbon,1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-019-09191-0,Enhancing_oxygen_evolution_efficiency_of_multiferroic_oxides.pdf,OPEN,"Regulating the electronic structure of catalysts is the most efﬁcient strategy yet, despite its limitations, to improve their oxygen evolution efﬁciency. Instead of only adjusting the electronic structure, here we utilize ferroelectric polarization to accelerate the oxygen evo-",Co2,glassy carbon,1 M NAOH,387,10,1.0,complete,True,"3b, which decreased from 420 mV to 387 mV, and then increased up to 452 mV. Since a lower overpotential means less energy consumed to split the water, the Co2 sample with the lowest overpotential (387 mV at j = 10 mA cm–2) is the highest-performing OER electrocatalyst of all."
10.1038/s41467-025-63541-9,Support-tuned_iridium_reconstruction_with_crystalline_phase_.pdf,Support-tuned iridium reconstruction with crystalline phase dominating acidic oxygen evolution,"The dynamic reconstruction of oxygen evolution electrocatalysts dictates their performance, yet conventional Ir-based materials face an inherent activity-stability trade-off due to surface amorphization into hydrous IrOx phases accompanied by lattice oxygen mechanisms. Here, we uncover a distinct reconstruction pathway for supported Ir nanoparticles, where a TiOx@Ti",Ir/TiOx@Ti,glassy carbon,0.1 M HCLO4,324,2000,1.0,nonstandard_current_density,True,"As shown in Fig. 7c, the Ir/TiOx@Ti anode exhibits a 30 mV reduction in kinetic overpotential compared to Ir NPs (294 versus 324 mV at 2 A/cm2), contributing to 61% of the total overpotential mitigation, directly attributable to its high intrinsic activity and high Ir utilization efﬁ- ciency."
10.1038/s41467-024-52410-6,Designing_neighboring-site_activation_of_single_atom_via_tun.pdf,Designing neighboring-site activation of single atom via tunnel ions for boosting acidic oxygen evolution,"Realizing an efﬁcient turnover frequency in the acidic oxygen evolution reaction by modifying the reaction conﬁguration is crucial in designing highperformance single-atom catalysts. Here, we report a “single atom–double site” concept, which involves an activatable inert manganese atom redox chemistry in a single-atom Ru-Mn dual-site platform with tunnel Ni ions as the trigger. In contrast to conventional single-atom catalysts, the proposed conﬁguration allows direct intramolecular oxygen coupling driven by the Ni ions intercalation effect, bypassing the secondary deprotonation step instead of the kinetically sluggish adsorbate evolution mechanism. The strong bonding of Ni ions activates the inert manganese terminal groups and inhibits the crosssite disproportionation process inherent in the Mn scaffolding, which is crucial to ensure the dual-site platform. As a result, the single-atom Ru-Ni-Mn octahedral molecular sieves catalyst delivers a low overpotential, adequate mass activity and good stability. Proton exchange membrane (PEM) electrolyzes operating in acidic media are promising and sustainable for the large-scale production of",NiOMS,foil,0.5 M H2SO4,160,10,1.0,complete,True,"3a). The Ru(SA)-NiOMS shows an overpotential of 160 mV at the geometric current density of 10 mA cm−2, which far exceeds most of the currently reported SA catalysts (Supplementary Table 3)."
10.1038/s41467-024-49281-2,Lanthanide-regulating_Ru-O_covalency_optimizes_acidic_oxygen.pdf,Lanthanide-regulating Ru-O covalency optimizes acidic oxygen evolution electrocatalysis,"Precisely modulating the Ru-O covalency in RuOx for enhanced stability in proton exchange membrane water electrolysis is highly desired. However, transition metals with d-valence electrons, which were doped into or alloyed with RuOx, are inherently susceptible to the inﬂuence of coordination environment, making it challenging to modulate the Ru-O covalency in a precise and continuous manner. Here, we ﬁrst deduce that the introduction of lanthanide with gradually changing electronic conﬁgurations can continuously modulate the Ru-O covalency owing to the shielding effect of 5s/5p orbitals. Theoretical calculations conﬁrm that the durability of Ln-RuOx following a volcanic trend as a function of Ru-O covalency. Among various Ln-RuOx, ErRuOx is identiﬁed as the optimal catalyst and possesses a stability 35.5 times higher than that of RuO2. Particularly, the Er-RuOx-based device requires only 1.837 V to reach 3 A cm−2 and shows a long-term stability at 500 mA cm−2 for 100 h with a degradation rate of mere 37 μV h−1. Renewable-driven water electrolysis is widely recognized as a promising and sustainable route to scalable production of green hydrogen1–4. Proton exchange membrane water electrolysis (PEMWE) technology shows great potential on account of its high intermittent compatibility, low Ohmic resistance, high current density, low operating pressure, and limited side reactions5–7. However, the widespread application of PEMWE is obstructed by the lack of efﬁcient and costaffordable electrocatalysts for acidic oxygen evolution reaction (OER)8,9. OER with four proton-coupled electron transfer necessitates a high overpotential due to its sluggish kinetics, thereby decreasing the",RuO2,foil,0.5 M H2SO4,,,0.55,material_without_anchor,False,
10.1038/s41467-020-19212-y,Dopants_fixation_of_Ruthenium_for_boosting_acidic_oxygen_evo.pdf,OPEN,"Designing highly durable and active electrocatalysts applied in polymer electrolyte membrane (PEM) electrolyzer for the oxygen evolution reaction remains a grand challenge due to the high dissolution of catalysts in acidic electrolyte. Hindering formation of oxygen vacancies by tuning the electronic structure of catalysts to improve the durability and activity in acidic electrolyte was theoretically effective but rarely reported. Herein we demonstrated rationally tuning electronic structure of RuO2 with introducing W and Er, which signiﬁcantly increased oxygen vacancy formation energy. The representative W0.2Er0.1Ru0.7O2-δ required a superlow overpotential of 168 mV (10 mA cm−2) accompanied with a record stability of 500 h in acidic electrolyte. More remarkably, it could operate steadily for 120 h (100 mA cm−2) in PEM device. Density functional theory calculations revealed co-doping of W and Er tuned electronic structure of RuO2 by charge redistribution, which signiﬁcantly prohibited formation of soluble Rux>4 and lowered adsorption energies for oxygen intermediates. https://doi.org/10.1038/s41467-020-19212-y OPEN",W0.2Er0.1Ru0.7O2,foil,0.5 M H2SO4,168,10,1.0,complete,True,"Herein we demonstrated rationally tuning electronic structure of RuO2 with introducing W and Er, which signiﬁcantly increased oxygen vacancy formation energy. The representative W0.2Er0.1Ru0.7O2-δ required a super- low overpotential of 168 mV (10 mA cm−2) accompanied with a record stability of 500 h in acidic electrolyte."
